record_id,molecule_name,cas_rn,cas_status,pubchem_cid,molecular_formula,inchikey,canonical_smiles,partition,formula_group,component_scope,elemental_scope,mixture_flag,oxygenate_flag,aromaticity_class,structure_class,density_screening_flag_ge_0_90_g_cm3,X01,X02,X03,X04,X05,X06,X07,Y01,Y02,Y02_label_status,Y03,Y04,Y05,Y06,Y07,reference_map
HC-0003,Bicyclohexyl,92-51-3,reported,7094.0,C12H22,WVIIMZNLDWSIRH-UHFFFAOYSA-N,C1CCC(C2CCCCC2)CC1,development,C12H22,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,bicyclic alicyclic,False,166.308,1.83333333333333,0.0,2.0,2.0,2.19722457733622,4.296875,42.728,38.11,author-curated independent response; source audit pending,0.88613,3.75,234.85,88.7,2.9175,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0013；Y02→REF-0493；Y03→REF-0014；Y04→REF-0015；Y05→REF-0016；Y06→REF-0481；Y07→REF-0479
HC-0005,Pinane,473-55-2,reported,10129.0,C10H18,XOKSLPVRUOBDEW-UHFFFAOYSA-N,CC1CCC2CC1C2(C)C,development,C10H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,polycyclic alicyclic,False,138.254,1.8,0.0,3.0,4.0,1.09861228866811,1.77777777777778,42.943,37.2,author-curated independent response; source audit pending,0.8467,-53.15,167.75,42.0,0.8971,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0021；Y02→REF-0493；Y03→REF-0022；Y04→REF-0023；Y05→REF-0024；Y06→REF-0479；Y07→REF-0482
HC-0006,Sabinene,3387-41-5,reported,18818.0,C10H16,NDVASEGYNIMXJL-UHFFFAOYSA-N,C=C1CCC2(C(C)C)CC12,development,C10H16,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,bicyclic alicyclic,False,136.238,1.6,0.0,2.0,4.0,1.09861228866811,1.66374254705002,42.88,,not available,0.8633,-21.0,164.0,37.0,0.8677,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0004；Y02→not available；Y03→REF-0004；Y04→REF-0004；Y05→REF-0004；Y06→REF-0479；Y07→REF-0482
HC-0008,"2,2,4-Trimethylpentane",540-84-1,reported,10907.0,C8H18,NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,development,C8H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,114.232,2.25,0.0,0.0,2.0,2.56494935746154,2.52,44.343,30.8,author-curated independent response; source audit pending,0.69189,-107.38,99.25,-12.0,0.6033,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0028；Y02→REF-0493；Y03→REF-0029；Y04→REF-0030；Y05→REF-0031；Y06→REF-0479；Y07→REF-0479
HC-0009,"2,2,5-Trimethylhexane",3522-94-9,reported,19041.0,C9H20,HHOSMYBYIHNXNO-UHFFFAOYSA-N,CC(C)CCC(C)(C)C,development,C9H20,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,128.259,2.22222222222222,0.0,0.0,2.0,2.56494935746154,3.2396694214876,44.182,31.42,author-curated independent response; source audit pending,0.7072,-105.95,123.85,12.89,1.3067,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0032；Y02→REF-0493；Y03→REF-0033；Y04→REF-0034；Y05→REF-0035；Y06→REF-0481；Y07→REF-0479
HC-0010,"2,2-Dimethylbutane",75-83-2,reported,6403.0,C6H14,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,development,C6H14,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,86.178,2.33333333333333,0.0,0.0,1.0,1.94591014905531,1.63265306122449,44.567,,not available,0.64925,-99.9,49.7,-37.75,0.4719,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0005；Y02→not available；Y03→REF-0036；Y04→REF-0037；Y05→REF-0038；Y06→REF-0481；Y07→REF-0479
HC-0011,"2,3-Dimethylbutane",79-29-8,reported,6589.0,C6H14,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,CC(C)C(C)C,development,C6H14,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,86.178,2.33333333333333,0.0,0.0,2.0,2.19722457733622,2.22222222222222,44.641,,not available,0.66158,-128.8,57.9,-32.15,0.4443,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0005；Y02→not available；Y03→REF-0036；Y04→REF-0039；Y05→REF-0039；Y06→REF-0481；Y07→REF-0479
HC-0012,"2,4-Dimethylhexane",589-43-5,reported,11511.0,C8H18,HDGQICNBXPAKLR-UHFFFAOYSA-N,CCC(C)CC(C)C,development,C8H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,114.232,2.25,0.0,0.0,2.0,1.09861228866811,3.9375,44.363,,not available,0.70057,-91.8,110.0,22.0,0.7057,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0005；Y02→not available；Y03→REF-0029；Y04→REF-0004；Y05→REF-0004；Y06→REF-0479；Y07→REF-0479
HC-0013,"2,4-Dimethylpentane",108-08-7,reported,7907.0,C7H16,BZHMBWZPUJHVEE-UHFFFAOYSA-N,CC(C)CC(C)C,development,C7H16,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,100.205,2.28571428571429,0.0,0.0,2.0,2.19722457733622,3.06122448979592,44.452,31.0,author-curated independent response; source audit pending,0.6728,-120.15,80.55,-16.68,0.5265,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0040；Y02→REF-0493；Y03→REF-0041；Y04→REF-0042；Y05→REF-0043；Y06→REF-0481；Y07→REF-0479
HC-0014,2-Methylheptane,592-27-8,reported,11594.0,C8H18,JVSWJIKNEAIKJW-UHFFFAOYSA-N,CCCCCC(C)C,development,C8H18,pure single-component molecule,hydrocarbon (C/H only),False,False,non-aromatic,branched alkane,False,114.232,2.25,0.0,0.0,1.0,1.09861228866811,5.14285714285714,44.379,31.1,author-curated independent response; source audit pending,0.6917,-110.15,117.55,8.59,0.5586,X01→REF-0488；X02/X05/X06→REF-0491；X03→REF-0490；X04→REF-0489；X07→REF-0492；Y01→REF-0044；Y02→REF-0493；Y03→REF-0045；Y04→REF-0046；Y05→REF-0047；Y06→REF-0481；Y07→REF-0479
